AGEB,ubica_geo,geometry,longitud,latitud,Entidad federativa,Municipio,Clave de municipio,cadena
0198,15026,POINT (-99.63908334605101 19.869186455809245),-99.63908334605101,19.869186455809245,México,Chapa de Mota,15026,Benavides
0167,7074,POINT (-93.17253795368204 17.88745588952921),-93.17253795368204,17.88745588952921,Chiapas,Reforma,7074,Klynn
0215,15005,POINT (-99.75234730154682 19.349333912917658),-99.75234730154682,19.349333912917658,México,Almoloya de Juárez,15005,Cualquiera
1096,24028,POINT (-100.9162926885827 22.10709004012554),-100.9162926885827,22.10709004012554,San Luis Potosí,San Luis Potosí,24028,Farmacias Guadalajara
270A,5002,POINT (-100.90234478219523 29.311113028554534),-100.90234478219523,29.311113028554534,Coahuila de Zaragoza,Acuña,5002,Benavides
3153,5030,POINT (-101.03951611631318 25.361596051062012),-101.03951611631318,25.361596051062012,Coahuila de Zaragoza,Saltillo,5030,Farmacias Guadalajara
0365,15042,POINT (-99.84934350309948 19.625707791124807),-99.84934350309948,19.625707791124807,México,Ixtlahuaca,15042,Farmacias Guadalajara
1077,24028,POINT (-100.99942503246156 22.116252193448123),-100.99942503246156,22.116252193448123,San Luis Potosí,San Luis Potosí,24028,Farmatodo
0416,15042,POINT (-99.73037542046282 19.572867648857375),-99.73037542046282,19.572867648857375,México,Ixtlahuaca,15042,Farmacias Guadalajara
041A,15074,POINT (-100.01122422512255 19.632306982157285),-100.01122422512255,19.632306982157285,México,San Felipe del Progreso,15074,Del Ahorro
0352,15087,POINT (-99.6089072374344 19.42007058482621),-99.6089072374344,19.42007058482621,México,Temoaya,15087,Farmatodo
0387,11033,POINT (-100.48015390733535 21.28275155185462),-100.48015390733535,21.28275155185462,Guanajuato,San Luis de la Paz,11033,Benavides
0505,19045,POINT (-100.27133032256172 25.891794585072436),-100.27133032256172,25.891794585072436,Nuevo León,Salinas Victoria,19045,Farmacias Guadalajara
0573,15005,POINT (-99.73857659117786 19.439870770368486),-99.73857659117786,19.439870770368486,México,Almoloya de Juárez,15005,Klynn
0219,15042,POINT (-99.81074303440805 19.571207900842605),-99.81074303440805,19.571207900842605,México,Ixtlahuaca,15042,Farmatodo
0510,27008,POINT (-93.45477989757683 17.916888324163025),-93.45477989757683,17.916888324163025,Tabasco,Huimanguillo,27008,San Pablo
046A,24024,POINT (-99.96270774267208 21.922195511674524),-99.96270774267208,21.922195511674524,San Luis Potosí,Rioverde,24024,Benavides
0401,15042,POINT (-99.74548485938669 19.610633423397342),-99.74548485938669,19.610633423397342,México,Ixtlahuaca,15042,San Pablo
0213,14051,POINT (-103.13418502631306 20.557874413594575),-103.13418502631306,20.557874413594575,Jalisco,Juanacatlán,14051,Farmatodo
2052,4002,POINT (-90.49228366557169 19.804656367300197),-90.49228366557169,19.804656367300197,Campeche,Campeche,4002,Klynn
0205,24024,POINT (-99.97122799224384 21.941616441753943),-99.97122799224384,21.941616441753943,San Luis Potosí,Rioverde,24024,San Pablo
0926,24013,POINT (-99.05921830569586 22.01226143673696),-99.05921830569586,22.01226143673696,San Luis Potosí,Ciudad Valles,24013,Farmatodo
0265,15074,POINT (-100.04568168650056 19.601623320398048),-100.04568168650056,19.601623320398048,México,San Felipe del Progreso,15074,Del Ahorro
1897,6007,POINT (-104.35172488377401 19.17259876810188),-104.35172488377401,19.17259876810188,Colima,Manzanillo,6007,Farmatodo
0172,21104,POINT (-97.90883181055281 19.172499241468703),-97.90883181055281,19.172499241468703,Puebla,Nopalucan,21104,Farmatodo
0343,12028,POINT (-99.13722786106159 17.615990336841822),-99.13722786106159,17.615990336841822,Guerrero,Chilapa de Álvarez,12028,Cualquiera
0401,15042,POINT (-99.76463984111278 19.599496533192248),-99.76463984111278,19.599496533192248,México,Ixtlahuaca,15042,Benavides
0420,14044,POINT (-103.1833205620182 20.41534279042501),-103.1833205620182,20.41534279042501,Jalisco,Ixtlahuacán de los Membrillos,14044,Farmatodo
037A,15118,POINT (-99.84804938870803 19.27271731707657),-99.84804938870803,19.27271731707657,México,Zinacantepec,15118,Farmacias Guadalajara
0331,15042,POINT (-99.85456338215653 19.654459060914714),-99.85456338215653,19.654459060914714,México,Ixtlahuaca,15042,Farmatodo
0087,15032,POINT (-100.14484092437965 19.338888091028004),-100.14484092437965,19.338888091028004,México,Donato Guerra,15032,Farmatodo
270A,5002,POINT (-100.90940989278002 29.297215634075375),-100.90940989278002,29.297215634075375,Coahuila de Zaragoza,Acuña,5002,Farmacias Guadalajara
1967,2004,POINT (-116.90908476866608 32.40741089074013),-116.90908476866608,32.40741089074013,Baja California,Tijuana,2004,Cualquiera
041A,15074,POINT (-99.9923055360436 19.628351762473862),-99.9923055360436,19.628351762473862,México,San Felipe del Progreso,15074,Cualquiera
044A,19045,POINT (-100.27816241105916 25.86004580828507),-100.27816241105916,25.86004580828507,Nuevo León,Salinas Victoria,19045,Del Ahorro
